EQUINOR  N-1 DC Monitored Facility Loadings[TARA Ver 2302.2.0.0 64-bit - Thu Jul 17 13:46:52 2025]

 Loadflow Case: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_EPE_pp10DEL_C0_v2 (3).raw
 Study Data File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Sub.sub
 Contingency File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_CTGs.con (total 5674 contingencies)
 Monitor File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Mon.mon (0.0% loading cutoff)
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 Monitored Facility                                   ,Fr Bus,Fr Name,To Bus,To Name,CKT,kVs,Areas,Zones Name,Rate Base (MVA),Rate Cont (MVA), Cont Name                                                      ,Cont ID,Base Flow (MW),Cont Flow (MW),Final DC %Loading,Severity Rank,Dfax FromTo Bus 113987,Dfax ToFrom Bus 113987,Dfax Harmer Positive (based on flow direction) Bus 113987,
110803 READING N140  115  111656 ES211-504RM   115  1  ,110803,READING N140,111656,ES211-504RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,BF_WOBRN_1,  4939,79.4,135.5,     88.54,5,   0.00000,  -0.00000,   0.00000,
110803 READING N140  115  111656 ES211-504RM   115  1  ,110803,READING N140,111656,ES211-504RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,LN_M139_503,  1829,79.4,135.5,     88.54,6,   0.00000,  -0.00000,   0.00000,
103718 3RIVERS-N133  115  103725 N133_NORTH_T  115  1  ,103718,3RIVERS-N133,103725,N133_NORTH_T,1 ,115 ,101,NH_SEACOST_P,     216.0,     234.0,BS_DOVER,  3059,154.2,207.1,     88.51,3,  -0.00136,   0.00136,  -0.00136,
103718 3RIVERS-N133  115  103725 N133_NORTH_T  115  1  ,103718,3RIVERS-N133,103725,N133_NORTH_T,1 ,115 ,101,NH_SEACOST_P,     216.0,     234.0,BF_DOVR_1830,  3599,154.2,207.1,     88.51,2,  -0.00136,   0.00136,  -0.00136,
110802 READING M139  115  111655 ES211-503RM   115  1  ,110802,READING M139,111655,ES211-503RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,BF_WOBRN_4,  4950,56.1,135.4,     88.51,2,   0.00000,  -0.00000,   0.00000,
110802 READING M139  115  111655 ES211-503RM   115  1  ,110802,READING M139,111655,ES211-503RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,LN_N140_504,  1841,56.1,135.4,     88.51,5,   0.00000,  -0.00000,   0.00000,
110802 READING M139  115  111655 ES211-503RM   115  1  ,110802,READING M139,111655,ES211-503RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,NF_211-504-4,  2708,56.1,135.4,     88.51,6,   0.00000,  -0.00000,   0.00000,
110802 READING M139  115  111655 ES211-503RM   115  1  ,110802,READING M139,111655,ES211-503RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,BF_TWKS_0-45,  4770,56.1,135.4,     88.51,3,   0.00000,  -0.00000,   0.00000,
110802 READING M139  115  111655 ES211-503RM   115  1  ,110802,READING M139,111655,ES211-503RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,BF_WOBRN_2,  4948,56.1,135.4,     88.51,4,   0.00000,  -0.00000,   0.00000,
110802 READING M139  115  111655 ES211-503RM   115  1  ,110802,READING M139,111655,ES211-503RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,BF_TWKS_N140,  4785,56.1,135.4,     88.51,1,   0.00000,  -0.00000,   0.00000,
116324 1715_T        115  116332 ALTRESCO      115  1  ,116324,1715_T,116332,ALTRESCO,1 ,115 ,101,MA_PIT-GRN_P,     170.0,     170.0,BF_DOREEN_9,  3598,-75.3,-149.4,     87.88,1,  -0.00000,   0.00000,   0.00000,
116324 1715_T        115  116332 ALTRESCO      115  1  ,116324,1715_T,116332,ALTRESCO,1 ,115 ,101,MA_PIT-GRN_P,     170.0,     170.0,NF_1816-3,  2679,-75.3,-149.4,     87.88,2,   0.00000,  -0.00000,  -0.00000,
116324 1715_T        115  116332 ALTRESCO      115  1  ,116324,1715_T,116332,ALTRESCO,1 ,115 ,101,MA_PIT-GRN_P,     170.0,     170.0,LN_1816,  1421,-75.3,-149.4,     87.88,3,  -0.00000,   0.00000,   0.00000,
116328 1816_T        115  116332 ALTRESCO      115  1  ,116328,1816_T,116332,ALTRESCO,1 ,115 ,101,MA_PIT-GRN_P,     170.0,     170.0,BF_DOREEN_12,  3592,-74.1,-149.4,     87.88,1,  -0.00000,   0.00000,   0.00000,
116328 1816_T        115  116332 ALTRESCO      115  1  ,116328,1816_T,116332,ALTRESCO,1 ,115 ,101,MA_PIT-GRN_P,     170.0,     170.0,LN_1715,  1375,-74.1,-149.4,     87.88,3,  -0.00000,   0.00000,   0.00000,
116328 1816_T        115  116332 ALTRESCO      115  1  ,116328,1816_T,116332,ALTRESCO,1 ,115 ,101,MA_PIT-GRN_P,     170.0,     170.0,NF_1715-3,  2646,-74.1,-149.4,     87.88,2,   0.00000,  -0.00000,  -0.00000,
103718 3RIVERS-N133  115  103725 N133_NORTH_T  115  1  ,103718,3RIVERS-N133,103725,N133_NORTH_T,1 ,115 ,101,NH_SEACOST_P,     216.0,     234.0,BF_DRFLD_785,   467,154.2,205.1,     87.65,4,  -0.00058,   0.00058,  -0.00058,
123615 PEQ-BE_TAP    115  123770 SINGER_43BE   115  1  ,123615,PEQ-BE_TAP,123770,SINGER_43BE,1 ,115 ,101,CT_UI-SWCT_P,     627.0,     677.0,Base Case ,     0,549.2,    -    ,     87.59,0,   0.00000,  -0.00000,   0.00000,
117330 JOHNSTON_171  115  117334 RISE 171_TAP  115  1  ,117330,JOHNSTON_171,117334,RISE 171_TAP,1 ,115 ,101,RI_PROVIDC_T,     446.0,     446.0,NF_T172S-6,  2959,-143.7,-390.3,     87.51,1,  -0.00083,   0.00083,   0.00083,
116324 1715_T        115  116332 ALTRESCO      115  1  ,116324,1715_T,116332,ALTRESCO,1 ,115 ,101,MA_PIT-GRN_P,     170.0,     170.0,NF_1816-1,  2678,-75.3,-148.4,     87.27,4,  -0.00000,   0.00000,   0.00000,
116328 1816_T        115  116332 ALTRESCO      115  1  ,116328,1816_T,116332,ALTRESCO,1 ,115 ,101,MA_PIT-GRN_P,     170.0,     170.0,NF_1715-1,  2645,-74.1,-148.4,     87.27,4,  -0.00000,   0.00000,   0.00000,
